Монгол 3р сургуулийн хажууд дулаахан 2өрөө байр	105678000.0	100 айл	39.14 м²	2	2005	Сүхбаатар	Банкны лизингтэй	Ашиглалтад орсон	2700000.0
Urguu nomingiin ard 2 uruu bair	150000000.00	3, 4 хороолол	60.0 м²	3	1997	Баянгол	Лизинггүй	Ашиглалтад орсон	2500000.0
Өргөө 88 апартмент хотхонд 2 өрөө	149000000.00	Офицер	64.0 м²	12	2023	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2328125.0
40мянгат 2 өрөө	215000000.00	40, 50 мянгат	43.05 м²	5	2023	Чингэлтэй	Лизинггүй	Ашиглалтад ороогүй	4994192.799070848
Morning star 2 өрөө	177600000.00	Бусад	48.0 м²	15	2020	Баянзүрх	Банкны лизингтэй	Ашиглалтад орсон	3700000.0
Сансарт рцнк автай сайн хааны өргөө хотхонд 2 өрөө	214650000.00	Сансар	47.7 м²	4	2022	Баянзүрх	Лизинггүй	Ашиглалтад орсон	4500000.0
Хангарьд 2 хотхонд 2өрөө	139000000.00	Яармаг	55.0 м²	11	2013	Хан-Уул	Лизинггүй	Ашиглалтад орсон	2527272.727272727
Tөмөр замд 2 өрөө	153000000.00	Төмөр зам	48.99 м²	11	2022	Баянгол	Банкны лизингтэй	Ашиглалтад орсон	3123086.3441518676
River villa 2 өрөө байр	240000000.00	Бусад	75.0 м²	10	2022	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3200000.0
Худ, мишээл экспо, 2 өрөө байр	138000000.00	Мишээл	43.0 м²	2	2022	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3209302.3255813955
Бзд, халдвартад шинээр ашиглалтанд орсон бүрэн цутгамал 2 өрөө	156825000.0	16-р хороолол	61.5 м²	9	2023	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2550000.0
Global town хотхонд 2 өрөө байр 65.87 мкв	329350000.00	Хүннү	65.87 м²	18	2022	Хан-Уул	Лизинггүй	Ашиглалтад орсон	5000000.0
Зайсан соёмбот хотхонд 2 өрөө байр	175000000.00	Зайсан	58.63 м²	4	2015	Хан-Уул	Лизинггүй	Ашиглалтад орсон	2984820.0579907894
Төмөр замын 20р сургуулийн баруун талд 1 давхрын өргөтгөлтэй	105000000.00	Төмөр зам	76.0 м²	1	2007	Баянгол	Банкны лизингтэй	Ашиглалтад орсон	1381578.9473684211
Мишээл экспод 57.34м2 2 өрөө байр	150000000.00	Мишээл	57.0 м²	5	2019	Хан-Уул	Банкны лизингтэй	Ашиглалтад орсон	2631578.947368421
Бзд 13-р хороололд 2 өрөө байр	150000000.00	13-р хороолол	55.0 м²	6	1998	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2727272.727272727
100 айлд 2өрөө байр	135000000.00	100 айл	62.0 м²	7	2017	Сүхбаатар	Банкны лизингтэй	Ашиглалтад орсон	2177419.35483871
Бзд саруул тэнгэр 1т 2 өрөө байр	90000000.00	16-р хороолол	38.0 м²	8	2010	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2368421.052631579
25-р эмийн сангийн баруун талд 63мкв 2 өрөө байр	175000000.00	25-р эмийн сан	63.0 м²	1	2009	Баянгол	Лизинггүй	Ашиглалтад орсон	2777777.777777778
White hill хотхонд шинэ 2 өрөө байр	250000000.00	Бусад	63.0 м²	3	2023	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3968253.9682539683
Хотын төвд 2 өрөө байр	240000000.00	5-р хороолол	64.0 м²	3	1985	Сүхбаатар	Лизинггүй	Ашиглалтад орсон	3750000.0
2 өрөө байр 50.5м2	145000000.00	Офицер	50.5 м²	2	2018	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2871287.128712871
115 сургуулийн ард 2 өрөө байр	200000000.00	UB Town	63.3 м²	3	2016	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3159557.6619273303
Богд ард 2 өрөө байр	115000000.00	Богд-Ар	45.66 м²	2	2015	Баянгол	Лизинггүй	Ашиглалтад орсон	2518615.8563293912
Сансарт гал тогоо тусдаа 2 өрөө	138000000.00	Сансар	29.0 м²	3	1989	Баянзүрх	Лизинггүй	Ашиглалтад орсон	4758620.689655173
Хүннү 3-р ээлж, 49,95м2 2 өрөө байр	242257500.0	Хүннү	49.95 м²	2	2023	Хан-Уул	Лизинггүй	Ашиглалтад ороогүй	4850000.0
Саруул тэнгэр цогцолбор хороолол	100000000.00	Бусад	40.0 м²	1	2014	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2500000.0
19 хороололд байрлалтай сүмбэр товерт 2 өрөө байр	256200000.0	19-р хороолол	61.0 м²	6	2022	Хан-Уул	Лизинггүй	Ашиглалтад орсон	4200000.0
Худ, 26-р хороо, time tower хотхонд 2 өрөө байр	195000000.00	Олимп хотхон	63.1 м²	4	2016	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3090332.8050713153
Туул гарден 58.7 м2 2 өрөө байр	180000000.00	Мишээл	58.7 м²	14	2019	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3066439.522998296
Шинэ яармагт 64.5м2 -тай гал тогоо тусдаа 2 өрөө	212850000.0	Яармаг	64.5 м²	16	2022	Хан-Уул	Банкны лизингтэй	Ашиглалтад орсон	3300000.0
13-н дунд зам дагуу гал тогоо тусдаа 2 өрөө	168000000.00	13-р хороолол	40.0 м²	6	1990	Баянзүрх	Лизинггүй	Ашиглалтад орсон	4200000.0
13-р хороолол, натурт гал тогоо тусдаа 2 өрөө	159000000.00	13-р хороолол	29.0 м²	10	1991	Баянзүрх	Лизинггүй	Ашиглалтад орсон	5482758.620689655
Офицерт 2 өрөө	120000000.00	Офицер	47.0 м²	5	2020	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2553191.489361702
Худ яармаг төгөлдөр апартмент 44 мкв 2 өрөө	138000000.00	Яармаг	44.0 м²	6	2021	Хан-Уул	Банкны лизингтэй	Ашиглалтад орсон	3136363.6363636362
Офцерт 2өрөө байр	105000000.00	Офицер	39.45 м²	7	2018	Баянзүрх	Лизинггүй	Ашиглалтад орсон	2661596.958174905
Яармаг, дээдсийн өргөө хотхоны 1б байранд 52м2 2 өрөө байр	146000000.00	Яармаг	52.0 м²	4	2022	Хан-Уул	Лизинггүй	Ашиглалтад орсон	2807692.3076923075
Офицерт 2 өрөө байр	138628000.0	Офицер	49.51 м²	6	2022	Баянзүрх	Банкны лизингтэй	Ашиглалтад орсон	2800000.0
Вива ситид 2 өрөө орон сууц	115000000.00	Viva city	49.5 м²	5	2018	Хан-Уул	Лизинггүй	Ашиглалтад орсон	2323232.3232323234
Хотын төвд 2 өрөө	200000000.00	40, 50 мянгат	50.0 м²	2	1980	Сүхбаатар	Лизинггүй	Ашиглалтад орсон	4000000.0
S apartment 2 өрөө	199000000.00	Дөлгөөн нуур	57.09 м²	3	2022	Сүхбаатар	Лизинггүй	Ашиглалтад орсон	3485724.2949728495
Халдвар, түмэн наст хотхонд 2 өрөө орон сууц 39,9м2	125000000.00	Бусад	39.9 м²	3	2014	Баянзүрх	Банкны лизингтэй	Ашиглалтад орсон	3132832.0802005013
